"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"115",9,"F",6,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"116",9,"F",6,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,4,1,TRUE,0
"117",9,"M",6,"NHOPI","High",NA,0,1,1,0,0,1,1,0,1,NA,NA,TRUE,NA
"118",9,"F",6,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"119",9,"F",6,"White","High",NA,1,1,1,0,0,1,0,0,1,NA,NA,TRUE,NA
"120",8,"M",6,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"121",9,"F",6,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"122",10,"M",6,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"123",10,"F",6,"White","High",NA,0,0,0,0,0,0,0,0,NA,3,1,NA,0
"124",10,"F",6,"Hispanic","High",4,1,0,0,0,0,0,0,0,0,NA,NA,TRUE,NA
"125",9,"M",6,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"126",10,"F",6,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,NA,1,TRUE,NA
"127",8,"M",6,"Hispanic","High",NA,0,1,1,0,0,0,0,0,1,NA,1,TRUE,NA
"128",9,"M",6,"Hispanic","High",NA,1,1,0,0,0,0,0,0,0,NA,1,TRUE,NA
"129",9,"F",6,"Hispanic","High",2,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"130",9,"M",6,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"131",9,"F",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"132",9,"M",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"133",9,"F",7,"White","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"134",10,"F",7,"Hispanic","High",NA,1,0,0,0,0,0,0,0,0,NA,NA,TRUE,NA
"135",10,"M",7,"Hispanic","High",NA,1,0,0,0,0,0,0,0,1,NA,1,TRUE,NA
"136",11,"M",7,"Hispanic","High",NA,1,1,0,0,0,0,0,0,1,NA,1,TRUE,NA
"137",9,"F",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"138",10,"M",7,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"139",10,"M",7,"White","High",NA,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"140",10,"M",7,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"141",10,"M",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"142",11,"M",7,"Hispanic","High",NA,1,1,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"143",11,"F",7,"Hispanic","High",4,0,0,0,0,0,0,NA,0,0,3,1,NA,0
"144",9,"M",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"145",10,"M",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,4,1,TRUE,0
"146",11,"F",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"147",9,"M",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,4,1,TRUE,0
"148",10,"M",7,"Hispanic","High",NA,1,1,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"149",10,"M",7,"Hispanic","High",NA,0,0,0,0,NA,0,0,0,0,NA,1,NA,NA
"150",9,"M",7,"Hispanic","High",2,0,0,0,0,NA,1,0,0,0,3,1,TRUE,0
"151",10,"F",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"152",10,"F",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"153",10,"F",7,"White","High",NA,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"154",9,"M",7,"Hispanic","High",NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"155",10,"F",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"156",9,"M",7,"White","High",3,1,0,0,0,0,0,0,0,0,NA,1,TRUE,NA
"157",10,"F",7,"White","High",NA,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"158",10,"F",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"159",10,"M",7,"White","High",NA,0,0,1,0,0,0,1,0,1,NA,NA,TRUE,NA
"160",9,"M",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"161",10,"F",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"162",10,"M",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"163",10,"M",7,"White","High",NA,0,0,0,0,0,0,0,0,1,4,NA,TRUE,0
"164",11,"F",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"165",9,"M",7,"White","High",NA,0,0,1,0,0,0,0,0,0,NA,NA,TRUE,NA
"166",10,"F",7,"White","High",3,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"167",10,"F",7,"Hispanic","High",2,0,1,0,0,0,0,0,0,0,NA,1,TRUE,NA
"168",10,"M",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,4,NA,TRUE,0
"169",10,"F",7,"Hispanic","High",NA,0,0,0,0,0,1,0,0,1,NA,1,TRUE,NA
"170",9,"M",7,"Hispanic","High",NA,1,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"171",9,"M",7,"White","High",NA,1,0,1,0,0,0,1,0,1,NA,NA,TRUE,NA
"172",10,"F",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"173",10,"F",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"174",10,"M",7,"Hispanic","High",NA,0,1,0,0,1,0,0,0,0,2,1,TRUE,1
"175",11,"M",7,"White","High",NA,1,1,1,1,1,0,1,0,1,NA,NA,TRUE,NA
"176",9,"M",7,"Hispanic","High",NA,NA,NA,0,0,0,0,0,0,1,NA,1,TRUE,NA
"177",9,"F",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"178",10,"M",7,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,1,1,FALSE,1
"179",10,"M",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"180",9,"M",7,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"181",4,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"182",3,"M",1,"White","Middle",4,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"183",3,"M",1,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
